url,total,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
http://data.gdeltproject.org/gdeltv2/20200127230000.gkg.csv.zip,1897,1,0,2,0,0,0,0,1,4,0,1
http://data.gdeltproject.org/gdeltv2/20190617181500.gkg.csv.zip,2176,0,0,7,2,1,2,3,1,6,5,3
http://data.gdeltproject.org/gdeltv2/20240202030000.gkg.csv.zip,799,1,0,2,0,0,0,1,2,1,0,2
http://data.gdeltproject.org/gdeltv2/20150630033000.gkg.csv.zip,895,0,0,5,0,2,0,5,0,3,4,3
http://data.gdeltproject.org/gdeltv2/20160206024500.gkg.csv.zip,1578,5,1,5,1,0,1,3,1,1,1,1
http://data.gdeltproject.org/gdeltv2/20241111084500.gkg.csv.zip,322,0,0,6,0,0,1,1,0,0,1,4
http://data.gdeltproject.org/gdeltv2/20230816220000.gkg.csv.zip,1267,4,0,3,0,0,1,2,1,2,4,0
http://data.gdeltproject.org/gdeltv2/20190421133000.gkg.csv.zip,590,1,0,9,1,0,0,2,0,3,0,0
http://data.gdeltproject.org/gdeltv2/20200506044500.gkg.csv.zip,826,1,0,5,1,0,2,1,0,0,0,2
http://data.gdeltproject.org/gdeltv2/20180729231500.gkg.csv.zip,871,0,2,7,0,0,1,0,0,2,3,1
http://data.gdeltproject.org/gdeltv2/20160203074500.gkg.csv.zip,1310,7,4,15,2,2,2,4,3,5,4,5
http://data.gdeltproject.org/gdeltv2/20201122104500.gkg.csv.zip,312,0,0,0,0,0,4,0,2,0,0,0
http://data.gdeltproject.org/gdeltv2/20180810210000.gkg.csv.zip,2121,6,4,0,0,0,1,4,0,1,5,1
http://data.gdeltproject.org/gdeltv2/20160611093000.gkg.csv.zip,916,2,0,3,0,1,1,0,0,1,5,2
http://data.gdeltproject.org/gdeltv2/20160221114500.gkg.csv.zip,698,1,1,1,1,0,0,4,0,6,1,2
http://data.gdeltproject.org/gdeltv2/20220804013000.gkg.csv.zip,791,4,2,3,1,0,0,0,1,0,1,1
http://data.gdeltproject.org/gdeltv2/20230304214500.gkg.csv.zip,451,0,0,0,0,0,1,0,0,1,0,0
http://data.gdeltproject.org/gdeltv2/20250707091500.gkg.csv.zip,423,1,2,0,0,2,0,2,0,2,3,0
http://data.gdeltproject.org/gdeltv2/20181209001500.gkg.csv.zip,894,0,0,4,0,0,0,0,1,5,0,4
http://data.gdeltproject.org/gdeltv2/20250405033000.gkg.csv.zip,455,0,0,0,0,0,0,1,1,0,2,2
http://data.gdeltproject.org/gdeltv2/20180219023000.gkg.csv.zip,937,1,0,7,0,0,1,0,0,1,0,0
http://data.gdeltproject.org/gdeltv2/20221219054500.gkg.csv.zip,377,0,0,1,0,0,1,0,2,3,3,0
http://data.gdeltproject.org/gdeltv2/20230114203000.gkg.csv.zip,542,2,0,0,0,0,0,1,1,1,0,0
http://data.gdeltproject.org/gdeltv2/20200310003000.gkg.csv.zip,1492,11,1,3,0,0,2,3,1,3,2,3
http://data.gdeltproject.org/gdeltv2/20180412194500.gkg.csv.zip,3256,15,1,19,0,1,0,2,3,0,4,2
http://data.gdeltproject.org/gdeltv2/20240614113000.gkg.csv.zip,603,0,3,0,0,0,0,1,3,1,1,2
http://data.gdeltproject.org/gdeltv2/20250102021500.gkg.csv.zip,415,3,2,2,0,1,0,0,0,4,1,0
http://data.gdeltproject.org/gdeltv2/20220919160000.gkg.csv.zip,1030,1,0,1,1,1,0,1,0,0,0,1
http://data.gdeltproject.org/gdeltv2/20150703141500.gkg.csv.zip,1356,6,0,2,2,0,1,2,0,0,0,2
http://data.gdeltproject.org/gdeltv2/20180811014500.gkg.csv.zip,1226,0,2,2,0,0,0,0,0,1,6,2
http://data.gdeltproject.org/gdeltv2/20200728001500.gkg.csv.zip,1305,3,1,18,0,0,1,1,1,25,1,2
http://data.gdeltproject.org/gdeltv2/20240305134500.gkg.csv.zip,924,1,4,2,0,1,0,2,2,0,3,0
http://data.gdeltproject.org/gdeltv2/20201222001500.gkg.csv.zip,986,1,0,0,0,1,3,0,0,1,1,0
http://data.gdeltproject.org/gdeltv2/20230214160000.gkg.csv.zip,1127,0,0,1,0,0,0,1,0,3,1,2
http://data.gdeltproject.org/gdeltv2/20220315074500.gkg.csv.zip,541,11,0,2,0,0,0,1,1,1,1,0
http://data.gdeltproject.org/gdeltv2/20220418140000.gkg.csv.zip,724,0,0,21,0,0,0,0,0,1,12,0
http://data.gdeltproject.org/gdeltv2/20210429160000.gkg.csv.zip,1115,1,0,1,0,0,3,1,3,2,0,2
http://data.gdeltproject.org/gdeltv2/20171102044500.gkg.csv.zip,1149,2,1,3,1,0,0,0,0,0,0,2
http://data.gdeltproject.org/gdeltv2/20150720014500.gkg.csv.zip,836,2,0,1,1,0,0,1,2,0,0,2
http://data.gdeltproject.org/gdeltv2/20180812110000.gkg.csv.zip,408,0,0,1,0,0,0,0,0,0,1,0
http://data.gdeltproject.org/gdeltv2/20210703053000.gkg.csv.zip,403,0,0,0,0,0,2,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20201004231500.gkg.csv.zip,694,2,0,1,0,2,1,1,2,1,2,3
http://data.gdeltproject.org/gdeltv2/20250609161500.gkg.csv.zip,1121,1,2,0,1,0,0,1,2,2,1,0
http://data.gdeltproject.org/gdeltv2/20170130214500.gkg.csv.zip,3404,3,0,10,0,0,4,8,1,1,1,1
http://data.gdeltproject.org/gdeltv2/20220718003000.gkg.csv.zip,328,0,1,0,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20240504001500.gkg.csv.zip,984,1,1,3,0,0,1,0,0,1,2,3
http://data.gdeltproject.org/gdeltv2/20190703100000.gkg.csv.zip,745,0,0,0,0,1,0,0,2,0,0,0
http://data.gdeltproject.org/gdeltv2/20230730180000.gkg.csv.zip,727,4,1,0,0,0,0,1,0,1,2,4
http://data.gdeltproject.org/gdeltv2/20220506033000.gkg.csv.zip,573,1,0,0,0,1,1,0,0,1,0,0
http://data.gdeltproject.org/gdeltv2/20190119161500.gkg.csv.zip,609,0,0,1,0,0,0,0,1,1,0,1
http://data.gdeltproject.org/gdeltv2/20210129010000.gkg.csv.zip,1290,0,2,5,0,0,2,3,0,3,2,2
http://data.gdeltproject.org/gdeltv2/20241025121500.gkg.csv.zip,747,0,2,0,0,0,1,6,0,0,2,0
http://data.gdeltproject.org/gdeltv2/20231102010000.gkg.csv.zip,1049,2,0,0,1,3,1,0,2,1,1,1
http://data.gdeltproject.org/gdeltv2/20170130110000.gkg.csv.zip,1157,1,1,34,1,1,1,1,14,1,1,1
http://data.gdeltproject.org/gdeltv2/20170130224500.gkg.csv.zip,3319,1,1,8,0,0,7,2,2,7,1,3
http://data.gdeltproject.org/gdeltv2/20201213163000.gkg.csv.zip,454,0,2,1,0,0,2,0,0,0,0,1
http://data.gdeltproject.org/gdeltv2/20190114034500.gkg.csv.zip,679,1,1,1,0,0,0,2,2,0,1,2
http://data.gdeltproject.org/gdeltv2/20240214191500.gkg.csv.zip,1517,0,0,1,0,0,0,1,7,2,0,1
http://data.gdeltproject.org/gdeltv2/20210521074500.gkg.csv.zip,539,1,0,0,0,0,0,0,0,2,0,0
http://data.gdeltproject.org/gdeltv2/20230404091500.gkg.csv.zip,727,0,1,0,0,1,1,2,1,1,0,2
http://data.gdeltproject.org/gdeltv2/20160712014500.gkg.csv.zip,2001,0,0,4,0,0,0,1,0,1,2,2
http://data.gdeltproject.org/gdeltv2/20211201194500.gkg.csv.zip,1364,3,1,4,0,2,1,2,1,2,4,2
http://data.gdeltproject.org/gdeltv2/20150811190000.gkg.csv.zip,2656,13,2,4,1,1,5,5,0,7,3,1
http://data.gdeltproject.org/gdeltv2/20190706113000.gkg.csv.zip,465,6,0,0,0,0,0,1,0,0,0,1
http://data.gdeltproject.org/gdeltv2/20200624141500.gkg.csv.zip,1365,1,2,6,0,2,2,1,3,1,3,3
http://data.gdeltproject.org/gdeltv2/20230605070000.gkg.csv.zip,428,1,0,0,0,0,0,0,0,0,1,0
http://data.gdeltproject.org/gdeltv2/20171108040000.gkg.csv.zip,1553,6,1,2,0,0,1,0,0,1,0,2
http://data.gdeltproject.org/gdeltv2/20170202113000.gkg.csv.zip,1501,2,4,8,0,0,1,1,4,0,3,1
http://data.gdeltproject.org/gdeltv2/20190422223000.gkg.csv.zip,2004,8,2,3,0,0,0,3,1,8,0,3
http://data.gdeltproject.org/gdeltv2/20150815084500.gkg.csv.zip,793,6,2,0,0,1,0,2,1,0,3,2
http://data.gdeltproject.org/gdeltv2/20220717101500.gkg.csv.zip,230,1,0,0,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20180513220000.gkg.csv.zip,837,2,0,3,0,0,1,0,0,1,2,1
http://data.gdeltproject.org/gdeltv2/20210105034500.gkg.csv.zip,696,1,1,1,0,0,0,1,0,0,1,1
http://data.gdeltproject.org/gdeltv2/20150711233000.gkg.csv.zip,1217,3,1,3,0,0,0,0,5,5,2,2
http://data.gdeltproject.org/gdeltv2/20230425064500.gkg.csv.zip,561,0,1,0,0,0,0,1,2,1,0,1
http://data.gdeltproject.org/gdeltv2/20220104034500.gkg.csv.zip,580,0,0,0,0,0,2,0,1,0,0,3
http://data.gdeltproject.org/gdeltv2/20180316093000.gkg.csv.zip,1151,1,2,13,0,0,0,1,2,2,2,1
http://data.gdeltproject.org/gdeltv2/20161128130000.gkg.csv.zip,1552,4,3,3,1,0,0,3,3,11,1,1
http://data.gdeltproject.org/gdeltv2/20241123210000.gkg.csv.zip,469,3,0,0,0,0,0,0,1,0,0,0
http://data.gdeltproject.org/gdeltv2/20220705144500.gkg.csv.zip,757,3,0,2,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20160405074500.gkg.csv.zip,1204,10,5,5,0,4,2,5,4,3,5,4
http://data.gdeltproject.org/gdeltv2/20220616080000.gkg.csv.zip,379,0,1,1,0,0,4,1,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20220502161500.gkg.csv.zip,1152,5,0,1,1,0,0,0,1,0,0,2
http://data.gdeltproject.org/gdeltv2/20210211121500.gkg.csv.zip,705,3,0,4,0,0,1,0,0,1,1,0
http://data.gdeltproject.org/gdeltv2/20150805084500.gkg.csv.zip,989,3,1,5,1,2,3,1,0,3,3,0
http://data.gdeltproject.org/gdeltv2/20190918121500.gkg.csv.zip,1102,1,0,2,0,4,3,1,6,2,0,1
http://data.gdeltproject.org/gdeltv2/20180805203000.gkg.csv.zip,957,6,0,0,0,0,0,0,0,2,1,1
http://data.gdeltproject.org/gdeltv2/20241207204500.gkg.csv.zip,446,0,0,0,0,0,0,0,0,2,0,0
http://data.gdeltproject.org/gdeltv2/20200316101500.gkg.csv.zip,541,1,0,3,0,0,0,0,0,1,4,0
http://data.gdeltproject.org/gdeltv2/20210622020000.gkg.csv.zip,706,0,0,2,0,0,0,0,0,0,1,1
http://data.gdeltproject.org/gdeltv2/20160416141500.gkg.csv.zip,980,5,3,5,0,0,1,1,0,1,2,4
http://data.gdeltproject.org/gdeltv2/20201128110000.gkg.csv.zip,311,3,0,0,1,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20210915091500.gkg.csv.zip,441,0,1,2,0,1,0,6,0,1,2,0
http://data.gdeltproject.org/gdeltv2/20200426091500.gkg.csv.zip,302,1,0,0,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20171006154500.gkg.csv.zip,0,0,0,0,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20190716044500.gkg.csv.zip,840,0,0,5,0,0,1,1,1,1,0,1
http://data.gdeltproject.org/gdeltv2/20151009051500.gkg.csv.zip,1267,4,1,5,0,0,1,1,1,3,1,1
http://data.gdeltproject.org/gdeltv2/20170808224500.gkg.csv.zip,2601,4,1,9,1,7,4,1,2,12,4,1
http://data.gdeltproject.org/gdeltv2/20230426220000.gkg.csv.zip,1706,6,0,6,2,0,2,0,3,5,1,3
http://data.gdeltproject.org/gdeltv2/20170708000000.gkg.csv.zip,2126,1,0,2,1,0,0,2,27,1,0,7
http://data.gdeltproject.org/gdeltv2/20231228011500.gkg.csv.zip,918,4,0,2,0,0,0,1,1,1,0,4
http://data.gdeltproject.org/gdeltv2/20210111084500.gkg.csv.zip,355,3,0,0,0,2,0,1,0,0,1,0
http://data.gdeltproject.org/gdeltv2/20170412021500.gkg.csv.zip,1966,7,2,3,0,0,1,0,1,3,0,2
http://data.gdeltproject.org/gdeltv2/20170731061500.gkg.csv.zip,0,0,0,0,0,0,0,0,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20161119041500.gkg.csv.zip,1509,4,1,5,2,0,1,2,2,3,2,1
http://data.gdeltproject.org/gdeltv2/20160812024500.gkg.csv.zip,1713,2,0,2,0,0,1,2,0,5,1,0
http://data.gdeltproject.org/gdeltv2/20200425200000.gkg.csv.zip,723,2,0,0,0,0,1,1,0,15,0,0
http://data.gdeltproject.org/gdeltv2/20200316151500.gkg.csv.zip,1418,2,3,6,2,1,2,3,1,1,1,0
http://data.gdeltproject.org/gdeltv2/20180830141500.gkg.csv.zip,1751,2,9,4,0,0,0,1,2,11,0,1
http://data.gdeltproject.org/gdeltv2/20200924054500.gkg.csv.zip,683,2,0,3,0,0,1,0,1,1,3,0
http://data.gdeltproject.org/gdeltv2/20170413014500.gkg.csv.zip,1979,8,0,6,0,0,1,3,0,1,2,3
http://data.gdeltproject.org/gdeltv2/20181028040000.gkg.csv.zip,628,2,0,0,0,0,0,1,0,0,0,0
http://data.gdeltproject.org/gdeltv2/20151006184500.gkg.csv.zip,2653,3,2,7,3,0,5,3,2,3,2,1
